"date","uid","Confirmed","Recovered","Deaths","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","location"
2020-01-23,180,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Congo (Kinshasa)"
2020-01-23,188,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica"
2020-01-23,191,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Croatia"
2020-01-23,192,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba"
2020-01-23,196,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus"
2020-01-23,203,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Czechia"
2020-01-23,204,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benin"
2020-01-23,208,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Denmark"
2020-01-23,212,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica"
2020-01-23,214,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Dominican Republic"
2020-01-23,218,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Ecuador"
2020-01-23,222,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador"
2020-01-23,226,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Equatorial Guinea"
2020-01-23,231,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethiopia"
2020-01-23,232,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea"
2020-01-23,233,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Estonia"
2020-01-23,234,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faroe Islands, Denmark"
2020-01-23,238,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Falkland Islands (Malvinas), United Kingdom"
2020-01-23,242,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiji"
2020-01-23,246,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Finland"
2020-01-23,250,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",2.78,"France"
2020-01-23,254,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Guiana, France"
2020-01-23,258,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Polynesia, France"
2020-01-23,262,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti"
2020-01-23,266,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon"
2020-01-23,268,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Georgia"
2020-01-23,270,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gambia"
2020-01-23,275,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Bank and Gaza"
2020-01-23,276,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Germany"
2020-01-23,288,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ghana"
2020-01-23,292,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibraltar, United Kingdom"
2020-01-23,300,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Greece"
2020-01-23,304,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenland, Denmark"
2020-01-23,308,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada"
2020-01-23,312,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guadeloupe, France"
2020-01-23,320,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala"
2020-01-23,324,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea"
2020-01-23,328,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guyana"
2020-01-23,332,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haiti"
2020-01-23,336,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holy See"
2020-01-23,340,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Honduras"
2020-01-23,348,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hungary"
2020-01-23,352,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",8.33,"Iceland"
2020-01-23,356,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"India"
2020-01-23,360,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",8.33,"Indonesia"
2020-01-23,364,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Iran"
2020-01-23,368,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Iraq"
2020-01-23,372,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Ireland"
2020-01-23,376,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Israel"
